Date,SPY_bh,AAPL_bh,MSFT_bh,GOOGL_bh,AMZN_bh,META_bh,NVDA_bh,TSLA_bh,JPM_bh,BAC_bh,WMT_bh,PG_bh,JNJ_bh,XOM_bh,CVX_bh,HD_bh,MCD_bh,KO_bh,PEP_bh,DIS_bh,NFLX_bh,ADBE_bh,CRM_bh,INTC_bh,VZ_bh,UNH_bh,portfolio_comm_0.0,portfolio_comm_0.0001,portfolio_comm_0.0005
2022-12-19,214139.67194923526,538019.2560784385,589173.0997600441,334019.4467603655,550499.1581935283,145927.32840136375,3361773.158884361,1025055.7681583988,258541.0055765893,208636.47136981643,197639.13948578096,209610.9583620647,208148.849905809,163789.27659806263,213309.90495361184,367984.81798343797,350938.38301468437,192787.42876626886,241949.06475875314,98173.12139464487,578351.584555696,454465.06277112616,217775.1231026264,92603.16904872814,113866.51368139706,586733.5749520101,8078.606550538679,7662.446132047853,7109.233733014589
2022-12-20,214432.73041715313,537734.8638521098,592481.050641438,336209.9980348586,552249.4776459935,149254.27897806827,3326819.4136103285,942501.4518082817,259793.38253315003,209482.45787171565,199369.14735185224,209694.63574444066,208374.23061667243,166156.4830426616,216813.17709049067,365097.4379862833,352813.03961818735,192634.02448329242,241802.35036369218,99592.27229036155,578130.9226714398,467542.18736882694,216829.85581952074,91393.35298220396,113743.52508747176,582935.05549187,8128.916792237897,7709.9613755781265,7153.377943830019
2022-12-21,217639.02720087365,550538.0643841862,598925.2601171796,338325.0250875302,562491.8881113607,152657.73237707748,3412858.7328918916,940928.3654344457,262715.5459698267,212671.22739106131,200933.12486897438,211617.95863264872,210758.43055073428,168290.1036143462,219362.12072606568,370338.89827144385,354014.4505508498,195732.6378417436,243496.7618331737,99477.82146618782,597730.2665782667,471910.4536420922,219952.7399112445,92741.43178854702,116172.7443845178,591148.8334680066,8029.882006013532,7615.999110563478,7065.91385157538
2022-12-22,214534.11784817913,537450.2824093964,583635.4947751614,331451.245306626,543173.8808715716,149292.55001035996,3172526.0351753244,857347.9893295108,259733.73140322856,210783.9964510404,198580.28052300384,212105.754711217,209987.42082129235,164895.017862724,216072.32176047706,366581.58934508474,350859.23036121787,194321.3807397866,241615.53128394578,99191.70334303475,597308.9925457262,465192.1565517244,218079.01469684995,89768.72818449236,117802.48964254887,590644.4950593143,8355.799482667586,7925.992282255373,7352.951865033632
2022-12-23,215768.2030755084,535946.4536552703,584958.6212936311,337003.14771468006,552638.4155429752,150465.24664557,3145017.6732843337,842300.8175459714,260966.17518785034,211304.6526067559,198981.63324314868,212704.99649404568,210521.16131811828,169255.66131330104,222752.35550779718,369608.42448518536,353235.5368527082,195793.96580832824,243176.56603064455,100725.30506292517,591712.0551811588,467860.1456187192,218501.05651296218,90183.516403949,118109.96483340059,595373.450234888,8362.412600839278,7932.000623090944,7358.878366307741
2022-12-27,214917.31641533723,528508.4206415839,580621.5933717164,330053.7855716759,538311.9593272052,148986.60739512896,2920610.42190337,746203.952662603,261880.5950241428,211695.07345656774,199036.98768891397,214558.6076269781,210461.83899793998,171607.3140575145,225552.48834440694,370559.276134838,352271.7806144637,196990.45172233268,244257.32999051237,98848.36874507612,570066.4903195455,463215.39024238987,220560.44449009624,89665.02087376281,120692.9773164501,596135.2849795757,8676.725760781905,8230.70316825696,7635.4750803275165
2022-12-28,212246.37109862664,512290.9681264211,574667.4663592228,324879.62055328616,530403.2257017521,147380.48960236585,2903029.5673302496,770895.0320598014,263311.89239582466,213256.91975175744,195549.2782397154,211785.22029322,209548.50782512326,168788.46286584073,222225.03978952553,366129.48351916217,349987.89539302484,195027.0092907651,242496.0926578635,96330.51317422291,555442.1975964614,453870.6154181697,216863.631742345,88282.3798010868,119339.99160211674,592168.640512342,8703.147588098189,8256.041436536989,7658.865676717287
2022-12-29,216066.8403634987,526801.4050262652,590545.3691100581,334057.179801137,545702.0761180002,153295.08584640885,3020300.8297736263,833204.0930981071,264822.658658115,215664.76612350828,196739.49778870866,212663.1694408803,210616.0489630673,170065.49509697966,223907.577788204,371556.4966195202,351070.50083781366,196192.82473174532,242802.97370507702,99775.37930938946,584008.7093910342,466657.4559880731,223733.9662628579,90598.31829789282,120723.72261191218,593770.9538421434,8516.101715409895,8078.370520933351,7494.380177335268
2022-12-30,215497.71102447493,528101.8892388778,587629.4457463428,333226.3552208226,544535.2129690313,153397.0470970132,3022576.3736262717,842505.9981875798,266571.9305161612,215534.6394148995,196241.29128264796,211227.66590728567,209536.67944766287,171778.63172562365,225376.68690922673,366280.1725486231,347902.1213282738,195149.70416232586,241041.80512331615,99432.04471143082,591551.5807676733,465205.9936627719,223818.36676512082,91358.77704138386,121154.21604499723,594107.0574059761,8468.62568410649,8033.688432081422,7453.177459554201
2023-01-03,214590.49801373377,508348.4870691493,587041.3467904453,336587.67728424433,556333.4739383727,159005.72034696455,2960734.7974449554,739364.3196369471,268599.59080116265,218072.57177127348,198746.37684864632,211241.7013625215,211363.3618413937,165876.1693145117,218470.60059842916,366338.16264556476,348958.25511789887,193124.92078470983,239374.02316446588,101823.9918634991,591692.0054451869,465745.1347578527,227515.21881766975,92395.76126451265,123368.18862550074,581175.7107693367,8506.61381086125,8069.907307966432,7486.863427953249
2023-01-04,216247.21025362014,513591.64155541855,561362.3715684494,332659.8072766047,551925.3297598263,162358.18821538673,3050497.3026287626,777255.8928609517,271104.2952523191,222172.49974411764,198967.79463170737,212161.45428730204,213664.52255606427,166358.96151480492,216147.6430858799,370768.03273632005,349037.4514900361,193032.85744778183,238786.93641459537,105268.86693594695,620699.8410082721,471951.92278892035,235634.69911391265,95679.57312626878,126473.94525217554,565330.6611025295,8290.172241051907,7863.49052818256,7289.292576905851
